id,device_addr,date_detected,is_randomized,device_power,frame_type,zone_id,zone,normalized_power,device_addr_encoded,zone_encoded,cluster
801,da:a1:19:d7:49:85,2024-10-26 22:45:10,1,-66,Probe Request,2,IT Section,0.875,0,0,0
802,da:a1:19:d7:49:85,2024-10-26 22:45:10,1,-74,Probe Request,2,IT Section,0.375,0,0,0
803,da:a1:19:d7:49:85,2024-10-26 22:45:10,1,-74,Probe Request,2,IT Section,0.375,0,0,0
809,da:a1:19:d7:49:85,2024-10-26 22:45:16,1,-80,Probe Request,2,IT Section,0.0,0,0,0
810,da:a1:19:d7:49:85,2024-10-26 22:45:16,1,-80,Probe Request,2,IT Section,0.0,0,0,0
812,da:a1:19:d7:49:85,2024-10-26 22:45:21,1,-70,Probe Request,2,IT Section,0.625,0,0,0
813,da:a1:19:d7:49:85,2024-10-26 22:45:21,1,-70,Probe Request,2,IT Section,0.625,0,0,0
814,da:a1:19:d7:49:85,2024-10-26 22:45:21,1,-72,Probe Request,2,IT Section,0.5,0,0,0
815,da:a1:19:d7:49:85,2024-10-26 22:45:25,1,-80,Probe Request,2,IT Section,0.0,0,0,0
816,da:a1:19:d7:49:85,2024-10-26 22:45:25,1,-76,Probe Request,2,IT Section,0.25,0,0,0
817,da:a1:19:d7:49:85,2024-10-26 22:45:25,1,-78,Probe Request,2,IT Section,0.125,0,0,0
818,da:a1:19:d7:49:85,2024-10-26 22:45:30,1,-70,Probe Request,2,IT Section,0.625,0,0,0
819,da:a1:19:d7:49:85,2024-10-26 22:45:30,1,-72,Probe Request,2,IT Section,0.5,0,0,0
820,da:a1:19:d7:49:85,2024-10-26 22:45:30,1,-78,Probe Request,2,IT Section,0.125,0,0,0
824,da:a1:19:d7:49:85,2024-10-26 22:45:44,1,-78,Probe Request,2,IT Section,0.125,0,0,0
825,da:a1:19:d7:49:85,2024-10-26 22:45:44,1,-78,Probe Request,2,IT Section,0.125,0,0,0
826,da:a1:19:d7:49:85,2024-10-26 22:45:44,1,-78,Probe Request,2,IT Section,0.125,0,0,0
827,da:a1:19:d7:49:85,2024-10-26 22:45:44,1,-78,Probe Request,2,IT Section,0.125,0,0,0
828,da:a1:19:d7:49:85,2024-10-26 22:45:44,1,-80,Probe Request,2,IT Section,0.0,0,0,0
829,da:a1:19:d7:49:85,2024-10-26 22:45:44,1,-78,Probe Request,2,IT Section,0.125,0,0,0
830,da:a1:19:d7:49:85,2024-10-26 22:45:44,1,-80,Probe Request,2,IT Section,0.0,0,0,0
831,da:a1:19:d7:49:85,2024-10-26 22:45:44,1,-80,Probe Request,2,IT Section,0.0,0,0,0
832,da:a1:19:d7:49:85,2024-10-26 22:45:44,1,-80,Probe Request,2,IT Section,0.0,0,0,0
833,da:a1:19:d7:49:85,2024-10-26 22:45:44,1,-80,Probe Request,2,IT Section,0.0,0,0,0
834,da:a1:19:d7:49:85,2024-10-26 22:47:05,1,-66,Probe Request,2,IT Section,0.875,0,0,0
835,da:a1:19:d7:49:85,2024-10-26 22:47:05,1,-66,Probe Request,2,IT Section,0.875,0,0,0
836,da:a1:19:d7:49:85,2024-10-26 22:47:05,1,-66,Probe Request,2,IT Section,0.875,0,0,0
837,da:a1:19:d7:49:85,2024-10-26 22:47:05,1,-64,Probe Request,2,IT Section,1.0,0,0,0
838,da:a1:19:d7:49:85,2024-10-26 22:47:05,1,-72,Probe Request,2,IT Section,0.5,0,0,0
839,da:a1:19:d7:49:85,2024-10-26 22:47:05,1,-72,Probe Request,2,IT Section,0.5,0,0,0
840,da:a1:19:d7:49:85,2024-10-26 22:47:05,1,-72,Probe Request,2,IT Section,0.5,0,0,0
